基金代码,基金名称,名称缩写,基金类型,今年来,近1周,近1月,近3月,近6月,近1年,近2年,近3年,n0,不知道是啥,page_num,数据来源日期,净值,日增长率,total_page_num,手续费,购买起点（元),page_num2,原先手续费,现在手续费
002986,泰康丰盈债券,TKFYZQ,债券型,5.3891,0.1699,-0.1694,2.8327,4.0952,8.0947,14.4826,22.2134,,,1,2020-08-14,1.2379,0.3567,1,0.08%,100,1,0.80%,0.08%
002400,南方亚洲美元债人民币A,NFYZMYZRMBA,QDII,-1.0434,0.0422,0.4406,2.8277,-1.8626,0.5485,6.8501,9.5996,,,1,2020-08-13,1.1855,-0.3614,1,0.08%,100,1,0.80%,0.08%
008556,易方达裕富债券A,YFDYFZQA,债券型,,0.2602,1.2456,2.8266,,,,,,,1,2020-08-14,1.0404,0.2505,1,0.06%,100,1,0.60%,0.06%
009143,上投摩根养老一年混合(FOF),STMGYLYNHHFOF,混合-FOF,,-0.9056,0.4492,2.8189,,,,,,,1,2020-08-12,1.0286,-0.3198,1,0.10%,100,1,1.00%,0.10%
410004,华富收益增强债券A,HFSYZQZQA,债券型,4.2988,-0.0952,1.6805,2.8182,3.3530,6.5987,11.8071,14.1051,21.3140,,1,2020-08-14,1.4703,0.4166,1,0.08%,100,1,0.80%,0.08%
000875,建信稳定得利债券A,JXWDDLZQA,债券型,4.9094,0,0.0720,2.8127,3.8117,6.4368,13.3878,18.8195,27.1978,,1,2020-08-14,1.3890,0.1442,1,0.08%,100,1,0.80%,0.08%
000045,工银产业债债券A,GYCYZZQA,债券型,5.0615,0.1304,0.6553,2.8113,4.0650,8.3981,16.9840,21.5190,28.7111,,1,2020-08-14,1.5360,0.3266,1,0.08%,100,1,0.80%,0.08%
000887,上投摩根稳进回报混合,STMGWJHBHH,混合型,4.9948,-0.3810,-0.3810,2.8014,2.8139,11.1909,13.2272,12.0172,12.6430,,1,2020-08-14,1.0460,0.5769,1,0.10%,100,1,1.00%,0.10%
002961,中欧双利债券A,ZOSLZQA,债券型,6.1580,-0.1954,0.1535,2.7886,4.2652,10.2953,16.1840,19.0998,,,1,2020-08-14,1.1744,0.3418,1,0.08%,100,1,0.80%,0.08%
003763,国开开泰灵活配置混合C,GKKTLHPZHHC,混合型,3.5701,0.1914,-0.0727,2.7859,3.1039,7.5201,12.8682,17.8051,,,1,2020-08-14,1.0995,0.2645,0,0.00%,100,0,,
007629,南方全球债券(QDII)人民币C,NFQQZQQDIIRMBC,QDII,-2.1279,0.0407,0.5927,2.7775,-3.1963,,,,,,1,2020-08-13,0.9843,-0.3543,1,0.00%,100,0,,
008831,海富通安益对冲混合A,HFTAYDCHHA,混合型,,-0.0967,1.0363,2.7745,3.2674,,,,,,1,2020-08-14,1.0335,0.2230,1,0.12%,100,1,1.20%,0.12%
006009,国融融银灵活配置混合A,GRRYLHPZHHA,混合型,-3.9271,0.0949,-0.6221,2.7580,-5.4604,2.5282,10.0619,,,,1,2020-08-14,1.0544,0.2949,1,0.12%,100,1,1.20%,0.12%
161505,银河通利债券(LOF)A,YHTLZQLOFA,债券型,5.32,-1.3240,-1.6305,2.7575,2.5911,7.8298,15.0772,17.4236,22.9643,,1,2020-08-14,1.2670,0.1581,1,0.08%,100,1,0.80%,0.08%
008501,鹏扬聚利六个月持有期债券A,PYJLLGYCYQZQA,债券型,,-0.0867,0.6310,2.7557,3.4531,,,,,,1,2020-08-14,1.0366,0.2708,1,0.08%,100,1,0.80%,0.08%
004998,长信全球债券人民币,CXQQZQRMB,QDII,3.68,0.2338,1.0439,2.7393,2.5637,6.1748,18.0718,,,,1,2020-08-13,1.2002,-0.1581,1,0.08%,100,1,0.80%,0.08%
000046,工银产业债债券B,GYCYZZQB,债券型,4.8184,0.1334,0.6707,2.7378,3.9474,7.9856,16.3565,20.3689,26.4439,,1,2020-08-14,1.5010,0.4013,1,0.00%,100,0,0.00%,0.00%
