管理人,基金代码,基金名称,基金类型,今年来,近1周,近1月,近3月,近6月,近1年,近2年,近3年,基金规模,基金经理url,成立时间,跟踪误差率
国泰基金,160221,国泰国证有色金属行业指数分级,股票指数,13.27,-7.0935,-0.7814,27.5214,9.748,23.4342,19.6477,-19.9328,26.27,http://fundf10.eastmoney.com/jjjl_160221.html,5.405479452054794,0.15
银河基金,519671,银河沪深300价值指数,股票指数,1.7345,2.2804,1.3289,14.4036,8.2328,9.0043,22.1301,24.4556,22.01,http://fundf10.eastmoney.com/jjjl_519671.html,10.66027397260274,0.15
华安基金,40002,华安中国A股增强指数,股票指数,21.801,-0.5803,-0.8679,22.8196,22.8196,36.5206,48.3406,30.2915,26.3,http://fundf10.eastmoney.com/jjjl_040002.html,17.802739726027397,0.15
景顺长城基金,3318,景顺中证500行业中性低波动,股票指数,24.526,-0.1247,-0.3648,22.5076,24.668000000000003,34.5048,39.9557,18.0086,17.39,http://fundf10.eastmoney.com/jjjl_003318.html,3.4767123287671233,0.15
国泰基金,160222,国泰国证食品饮料行业指数分级,股票指数,45.3781,1.4480000000000002,0.5878,33.1114,53.7868,57.5165,108.1047,141.8104,34.98,http://fundf10.eastmoney.com/jjjl_160222.html,5.838356164383562,0.15
华夏基金,501050,华夏上证50AH优选指数A,股票指数,7.7424,0.6081,-2.1039,15.7854,11.9549,20.5668,32.7094,35.8577,16.56,http://fundf10.eastmoney.com/jjjl_501050.html,3.824657534246575,0.15
大成基金,519300,大成沪深300指数A,股票指数,19.2665,0.4225,0.4626,22.8399,21.8418,32.2514,42.4486,31.298000000000002,17.81,http://fundf10.eastmoney.com/jjjl_519300.html,14.391780821917807,0.16
南方基金,1113,南方大数据100A,股票指数,49.55,-2.2168,-1.9089,34.4256,38.7667,65.2412,46.8621,12.745999999999999,30.98,http://fundf10.eastmoney.com/jjjl_001113.html,5.336986301369863,0.16
华宝基金,162412,华宝中证医疗指数分级,股票指数,62.9312,-3.8955,-3.0563,24.7798,43.861999999999995,88.194,106.1962,122.2281,9.62,http://fundf10.eastmoney.com/jjjl_162412.html,5.263013698630137,0.16
国泰基金,160219,国泰国证医药卫生行业指数分级,股票指数,54.3796,-4.625,-0.1067,28.0402,42.1121,75.1661,69.5998,84.7702,18.37,http://fundf10.eastmoney.com/jjjl_160219.html,6.989041095890411,0.16
富国基金,100038,富国沪深300指数增强,股票指数,14.8824,0.2567,-2.6906,19.3765,18.3636,27.0204,45.3166,45.4907,84.59,http://fundf10.eastmoney.com/jjjl_100038.html,10.693150684931506,0.17
富国基金,161027,富国中证全指证券公司指数分级,股票指数,18.7312,-1.0076,-7.2384,29.989,28.4314,36.6705,74.8373,22.0754,36.95,http://fundf10.eastmoney.com/jjjl_161027.html,5.413698630136986,0.17
招商基金,161723,招商中证银行指数分级,股票指数,-1.5363,2.7904,1.7341,11.3477,5.5297,7.2141,26.3751,20.9428,8.87,http://fundf10.eastmoney.com/jjjl_161723.html,5.265753424657534,0.17
富国基金,161028,富国中证新能源汽车指数分级,股票指数,34.1453,-0.1807,-3.5777,29.6948,11.5718,76.6237,63.167,19.0776,58.3,http://fundf10.eastmoney.com/jjjl_161028.html,5.405479452054794,0.17
鹏华基金,160630,鹏华中证国防指数分级,股票指数,62.963,-4.7178,15.0326,44.4313,56.5437,77.7236,77.1848,31.6128,65.16,http://fundf10.eastmoney.com/jjjl_160630.html,5.780821917808219,0.17
国泰基金,501016,国泰中证申万证券行业指数,股票指数,18.172,-0.2736,-5.3379,31.6909,28.4428,37.2986,78.3016,23.5571,17.63,http://fundf10.eastmoney.com/jjjl_501016.html,3.326027397260274,0.18
汇添富基金,501010,汇添富中证生物科技指数C,股票指数,82.624,-6.0361,2.3128,37.107,59.9671,105.5157,118.9418,142.9213,11.07,http://fundf10.eastmoney.com/jjjl_501010.html,3.671232876712329,0.18
招商基金,161726,招商国证生物医药指数分级,股票指数,90.3327,-6.5315,1.2218,40.0632,64.5878,117.5151,143.5994,161.0009,36.44,http://fundf10.eastmoney.com/jjjl_161726.html,5.2465753424657535,0.18
融通基金,161607,融通巨潮100指数A(LOF),股票指数,20.3331,0.7337,0.5861,24.4787,22.9185,30.7909,55.165,48.413999999999994,8.46,http://fundf10.eastmoney.com/jjjl_161607.html,15.293150684931506,0.19
汇添富基金,470007,汇添富上证综合指数,股票指数,15.042,0.5034,1.7842,20.8102,20.2091,24.1334,29.6505,16.662,9.56,http://fundf10.eastmoney.com/jjjl_470007.html,11.153424657534247,0.19
景顺长城基金,311,景顺长城沪深300指数增强,股票指数,19.9634,0.4601,-0.7951,23.9357,21.5777,30.7385,42.3913,36.4935,69.43,http://fundf10.eastmoney.com/jjjl_000311.html,6.821917808219178,0.19
融通基金,161631,融通人工智能指数(LOF)A,股票指数,41.4314,-1.5359,-5.2212,18.4908,16.075,70.6992,81.5476,54.3412,9.28,http://fundf10.eastmoney.com/jjjl_161631.html,3.372602739726027,0.19
