基金代码,基金名称,名称缩写,基金类型,今年来,近1周,近1月,近3月,近6月,近1年,近2年,近3年,n0,不知道是啥,page_num,数据来源日期,净值,日增长率,total_page_num,手续费,购买起点（元),page_num2,原先手续费,现在手续费,基金规模,基金经理url,成立时间,跟踪误差率,当前经理管理天数,当前回报率,经理工作年限,经理管理过的基金数量,经理平均名次,经理平均回报率,跑赢均值比例,排名在前50%比例
160516,博时中证全指证券公司指数(LOF),BSZZQZZQGSZSLOF,股票指数,13.3772,-0.7347,-5.2201,28.5421,23.5079,26.2862,56.0939,24.3816,40.606,,1,2020-08-14,1.3781,1.3383,1,0.10%,100,1.0,1.00%,0.10%,1.54亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_160516.html,2015-05-19,0.47%,1922,-2.18,7.778082191780823,28,0.5518183512971581,-10.295714285714283,0.3928571428571429,0.5357142857142857
3986,申万菱信中证500指数优选增强A,SWLXZZ500ZSYXZQA,股票指数,34.4828,-1.2488,0.4919,28.4623,34.2933,54.2515,68.1951,58.4056,,,1,2020-08-14,1.716,1.1315,1,0.12%,100,1.0,1.20%,0.12%,11.60亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_003986.html,2017-01-10,0.47%,123,32.78,2.868493150684932,12,0.4964756039095114,-4.7175,0.4166666666666667,0.5833333333333334
7794,申万菱信中证500指数优选增强C,SWLXZZ500ZSYXZQC,股票指数,34.2303,-1.254,0.4728,28.3657,34.0911,53.8073,,,,,1,2020-08-14,1.5513,1.1344,1,0.00%,100,0.0,,,0.15亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_007794.html,2019-08-08,0.47%,123,32.64,2.868493150684932,12,0.4964756039095114,-4.7175,0.4166666666666667,0.5833333333333334
7671,建信中证红利潜力指数A,JXZZHLQLZSA,股票指数,23.6556,1.044,2.8633,28.3424,29.4311,,,,,,1,2020-08-14,1.2969,1.5583,1,0.12%,100,1.0,1.20%,0.12%,1.36亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_007671.html,2019-09-11,--,346,30.08,1.7671232876712328,7,0.4818881995689164,-1.0857142857142874,0.2857142857142857,0.42857142857142855
7672,建信中证红利潜力指数C,JXZZHLQLZSC,股票指数,23.3575,1.0403,2.8339,28.2184,29.18,,,,,,1,2020-08-14,1.2918,1.5566,1,0.00%,100,0.0,,,0.07亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_007672.html,2019-09-11,--,346,29.55,1.7671232876712328,7,0.4818881995689164,-1.0857142857142874,0.2857142857142857,0.42857142857142855
614,华安德国30(DAX)联接,HADG30DAXLJ,QDII-指数,8.9786,2.3202,4.6677,28.1977,8.4426,20.1635,12.6917,12.6917,28.9474,,1,2020-08-13,1.3230000000000002,-0.3014,1,0.12%,100,1.0,1.20%,0.12%,8.98亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_000614.html,2014-08-12,0.59%,694,10.55,1.9506849315068493,11,0.5747812474669917,-10.985454545454548,0.3636363636363637,0.4545454545454545
3876,华宝沪深300指数增强A,HBHS300ZSZQA,股票指数,26.3721,-0.2087,0.7291,28.1963,27.6174,43.571999999999996,67.7158,59.3745,,,1,2020-08-14,1.865,1.7347,1,0.12%,100,1.0,1.20%,0.12%,4.33亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_003876.html,2016-12-09,0.21%,233,25.63,10.904109589041095,12,0.4724877719708034,-17.019166666666667,0.6666666666666666,0.6666666666666666
7404,华宝沪深300指数增强C,HBHS300ZSZQC,股票指数,26.0678,-0.215,0.6942,28.0679,27.365,43.0133,,,,,1,2020-08-14,1.8566,1.7315,1,0.00%,100,0.0,,,0.19亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_007404.html,2019-05-24,0.21%,233,25.32,10.904109589041095,12,0.4724877719708034,-17.019166666666667,0.6666666666666666,0.6666666666666666
168001,国寿安保中证养老产业,GSABZZYLCY,股票指数,40.4433,-1.7630000000000001,-2.6001,28.057,34.4696,52.3641,26.930999999999997,13.1509,-12.3815,,1,2020-08-14,1.3373,1.3029,1,0.10%,1000,1.0,1.00%,0.10%,0.77亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_168001.html,2015-06-26,0.26%,925,20.67,5.4301369863013695,12,0.6348113095714462,-18.071666666666676,0.3333333333333333,0.3333333333333333
160219,国泰国证医药卫生行业指数分级,GTGZYYWSHYZSFJ,股票指数,54.3796,-4.625,-0.1067,28.0402,42.1121,75.1661,69.5998,84.7702,55.4934,,1,2020-08-14,0.9321,0.6914,1,0.10%,100,1.0,1.00%,0.10%,18.37亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_160219.html,2013-08-29,0.16%,1296,94.47,4.208219178082191,21,0.3936586459137347,54.678999999999995,0.42857142857142855,0.5238095238095238
2906,南方中证500量化增强A,NFZZ500LHZQA,股票指数,34.5511,-0.7698,0.3894,28.004,28.1312,52.3641,45.6497,24.3009,,,1,2020-08-14,1.2890000000000001,1.6562,1,0.15%,100,1.0,1.50%,0.15%,3.39亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_002906.html,2016-11-23,0.32%,653,66.03,4.049315068493152,15,0.5849889049971666,-6.694666666666667,0.26666666666666666,0.26666666666666666
