序号,基金公司,相关链接,成立时间,天相评级,全部管理规模(亿元)(统计时间),全部基金数,全部经理数,全部管理规模(亿元)
113,泰信基金管理有限公司,详情 公司吧,2003-05-23,,58.38   06-30,30,12,58.38
114,上海光大证券资产管理有限公司,详情 公司吧,2012-02-21,暂无评级,51.48   06-30,20,6,51.48
115,富安达基金管理有限公司,详情 公司吧,2011-04-27,,41.91   06-30,16,8,41.91
116,南华基金管理有限公司,详情 公司吧,2016-11-17,暂无评级,33.95   06-30,19,7,33.95
117,金信基金管理有限公司,详情 公司吧,2015-07-03,暂无评级,33.29   06-30,22,6,33.29
118,渤海汇金证券资产管理有限公司,详情 公司吧,2016-05-18,暂无评级,30.87   06-30,8,4,30.87
119,格林基金管理有限公司,详情 公司吧,2016-11-01,暂无评级,29.95   08-05,19,4,29.95
120,西藏东财基金管理有限公司,详情 公司吧,2018-10-26,暂无评级,28.11   07-29,10,2,28.11
121,朱雀基金管理有限公司,详情 公司吧,2018-10-25,暂无评级,27.58   06-30,8,4,27.58
122,上海海通证券资产管理有限公司,详情 公司吧,2012-06-26,暂无评级,26.48   06-30,3,1,26.48
123,华融基金管理有限公司,详情 公司吧,2019-03-01,暂无评级,24.87   07-01,6,3,24.87
124,新沃基金管理有限公司,详情 公司吧,2015-08-19,暂无评级,24.58   06-30,5,2,24.58
125,东方阿尔法基金管理有限公司,详情 公司吧,2017-07-04,暂无评级,21.93   06-30,6,2,21.93
126,天治基金管理有限公司,详情 公司吧,2003-05-27,,21.18   06-30,19,7,21.18
127,东海基金管理有限责任公司,详情 公司吧,2013-02-25,暂无评级,19.98   07-24,12,3,19.98
128,湘财基金管理有限公司,详情 公司吧,2018-07-13,暂无评级,19.34   08-13,10,5,19.34
129,中国国际金融股份有限公司,详情 公司吧,1995-07-31,暂无评级,19.06   06-30,8,4,19.06
130,中泰证券(上海)资产管理有限公司,详情 公司吧,2014-08-13,暂无评级,18.60   06-30,13,6,18.6
131,华融证券股份有限公司,详情 公司吧,2007-09-07,暂无评级,17.83   03-31,0,0,17.83
132,同泰基金管理有限公司,详情 公司吧,2018-10-11,暂无评级,17.62   07-03,18,3,17.62
133,江信基金管理有限公司,详情 公司吧,2013-01-28,,17.36   06-30,14,5,17.36
134,益民基金管理有限公司,详情 公司吧,2005-12-12,暂无评级,17.36   06-30,10,3,17.36
135,先锋基金管理有限公司,详情 公司吧,2016-05-16,暂无评级,16.09   06-30,17,5,16.09
136,恒生前海基金管理有限公司,详情 公司吧,2016-07-01,暂无评级,14.10   06-30,16,5,14.1
137,博远基金管理有限公司,详情 公司吧,2018-12-12,暂无评级,13.86   07-08,6,3,13.86
138,弘毅远方基金管理有限公司,详情 公司吧,2018-01-31,暂无评级,12.96   06-30,5,4,12.96
139,中航基金管理有限公司,详情 公司吧,2016-06-16,暂无评级,12.56   06-30,11,3,12.56
140,凯石基金管理有限公司,详情 公司吧,2017-05-10,暂无评级,11.80   06-30,16,5,11.8
141,兴证证券资产管理有限公司,详情 公司吧,2014-06-09,暂无评级,8.94   06-30,2,1,8.94
142,中科沃土基金管理有限公司,详情 公司吧,2015-09-06,暂无评级,6.45   06-30,13,7,6.45
143,安信证券股份有限公司,详情 公司吧,2006-08-22,暂无评级,5.03   06-30,3,1,5.03
144,天风证券股份有限公司,详情 公司吧,2000-03-29,暂无评级,3.12   06-30,2,2,3.12
145,国融基金管理有限公司,详情 公司吧,2017-06-20,暂无评级,3.09   06-30,12,2,3.09
146,合煦智远基金管理有限公司,详情 公司吧,2017-08-21,暂无评级,2.95   06-30,6,3,2.95
147,国开泰富基金管理有限责任公司,详情 公司吧,2013-07-16,暂无评级,2.38   06-30,4,1,2.38
148,恒越基金管理有限公司,详情 公司吧,2017-09-14,暂无评级,2.35   06-30,4,2,2.35
149,太平洋证券股份有限公司,详情 公司吧,2004-01-06,暂无评级,1.35   06-30,1,2,1.35
150,华宸未来基金管理有限公司,详情 公司吧,2012-06-20,暂无评级,1.01   06-30,3,2,1.01
151,国都证券股份有限公司,详情 公司吧,2001-12-28,,0.91   06-30,5,4,0.91
152,明亚基金管理有限责任公司,详情 公司吧,2019-02-27,暂无评级,0.64   06-30,2,2,0.64
153,北京高华证券有限责任公司,详情 公司吧,2004-10-18,暂无评级,-,0,0,
154,达诚基金管理有限公司,详情 公司吧,2019-08-05,暂无评级,-,0,0,
155,瑞达基金管理有限公司,详情 公司吧,-,暂无评级,-,0,0,
156,华安证券股份有限公司,详情 公司吧,2001-01-08,暂无评级,-,3,1,
